1000,1391,colorFirst,colorSecond
0,8,0,1
0,100,0,1
1,383,0,1
1,758,0,1
2,287,0,1
2,716,0,2
2,233,0,1
2,533,0,1
2,931,0,1
2,179,0,1
3,618,0,1
3,904,0,1
3,816,0,2
3,557,0,1
3,669,0,1
4,967,0,1
5,600,0,1
5,370,0,1
5,592,0,2
5,353,0,1
5,540,0,2
5,609,0,1
6,650,0,1
6,309,0,1
6,998,0,1
6,710,0,1
7,946,0,1
8,0,1,0
8,816,1,2
8,391,1,0
8,535,1,0
8,968,1,2
8,857,1,2
9,912,0,1
9,482,0,2
9,677,0,2
10,560,0,2
11,997,0,1
11,207,0,1
11,872,0,1
12,344,0,1
13,382,0,1
13,208,0,1
13,717,0,1
13,943,0,1
14,708,0,2
14,145,0,1
15,367,0,2
15,849,0,1
16,470,0,1
16,766,0,1
16,54,0,1
16,823,0,1
16,685,0,1
16,657,0,1
17,759,0,1
17,567,0,2
18,639,0,1
18,684,0,1
18,784,0,1
18,447,0,1
18,199,0,1
18,321,0,1
19,792,0,1
19,940,0,2
19,705,0,1
19,478,0,1
19,108,0,1
19,182,0,1
20,546,0,1
20,403,0,2
21,178,0,1
21,395,0,2
21,887,0,1
22,279,0,1
22,978,0,2
22,43,0,1
22,264,0,1
23,250,0,1
23,838,0,2
24,676,0,1
24,894,0,1
24,973,0,2
24,931,0,1
25,792,0,1
25,637,0,1
25,442,0,1
25,587,0,2
25,950,0,2
26,380,0,1
26,996,0,1
26,563,0,1
26,379,0,1
26,586,0,2
26,885,0,1
27,573,0,2
27,659,0,1
27,471,0,2
27,364,0,2
28,715,0,1
29,470,0,1
29,132,0,1
29,620,0,1
29,438,0,1
29,166,0,1
29,467,0,1
30,332,0,1
30,600,0,1
31,426,0,2
31,238,0,2
31,458,0,2
31,404,0,1
32,257,0,2
32,957,0,1
32,250,0,1
33,338,0,1
33,444,0,1
33,162,0,1
34,618,0,1
35,886,0,1
35,737,0,2
36,306,0,2
36,685,0,1
37,121,0,1
37,321,0,1
37,576,0,1
37,510,0,2
37,697,0,1
37,217,0,1
38,575,0,1
38,574,0,1
38,788,0,2
38,733,0,2
39,668,0,1
39,620,0,1
39,167,0,1
40,612,0,2
40,765,0,1
40,362,0,2
40,972,0,2
40,580,0,1
40,782,0,1
41,363,0,2
41,508,0,2
41,232,0,1
41,235,0,1
42,739,0,1
43,22,1,0
43,437,1,0
43,405,1,0
44,623,0,1
45,228,0,1
45,597,0,1
45,126,0,1
46,385,0,1
46,219,0,1
46,710,0,1
46,101,0,1
46,922,0,1
46,206,0,1
47,887,0,1
47,646,0,2
47,729,0,1
47,193,0,1
47,221,0,1
47,795,0,1
48,449,0,2
48,821,0,1
48,789,0,1
48,820,0,2
48,199,0,1
48,594,0,2
49,908,0,2
49,460,0,1
49,475,0,2
49,381,0,1
49,793,0,1
49,585,0,1
50,377,0,1
50,263,0,1
50,622,0,1
50,370,0,1
50,845,0,1
51,993,0,1
51,582,0,2
52,95,0,1
53,375,0,1
54,16,1,0
54,646,1,2
55,531,0,1
55,585,0,1
55,862,0,1
55,443,0,1
55,769,0,2
55,283,0,1
56,523,0,1
56,513,0,1
57,946,0,1
58,770,0,2
58,461,0,1
59,228,0,1
59,291,0,1
60,679,0,1
60,947,0,2
60,734,0,1
60,630,0,2
60,868,0,1
60,705,0,1
61,611,0,1
61,933,0,1
61,244,0,1
61,155,0,1
61,96,0,1
61,208,0,1
62,70,0,1
62,682,0,1
62,153,0,1
62,655,0,1
63,575,0,1
63,519,0,1
63,156,0,1
64,739,0,1
64,715,0,1
64,350,0,1
64,285,0,2
64,981,0,1
64,455,0,1
65,827,0,1
65,138,0,1
66,212,0,1
67,650,0,1
67,892,0,1
67,624,0,1
67,266,0,2
67,876,0,2
67,910,0,1
68,975,0,1
68,388,0,2
68,727,0,1
68,537,0,1
69,958,0,1
70,62,1,0
70,819,1,2
71,231,0,2
71,546,0,1
71,221,0,1
71,368,0,1
71,369,0,2
72,151,0,1
72,904,0,1
73,137,0,1
73,862,0,1
73,356,0,1
74,352,0,2
74,727,0,1
74,485,0,2
74,206,0,1
75,259,0,2
75,935,0,1
75,959,0,1
75,217,0,1
75,570,0,1
75,532,0,1
76,660,0,1
76,675,0,1
76,532,0,1
76,83,0,1
76,724,0,1
76,651,0,1
77,890,0,1
77,311,0,2
77,803,0,1
77,958,0,1
78,591,0,2
78,310,0,1
79,963,0,1
79,919,0,1
79,124,0,1
80,697,0,1
80,468,0,1
80,771,0,1
80,853,0,2
80,698,0,2
80,287,0,1
81,534,0,1
81,524,0,2
81,900,0,1
81,724,0,1
83,76,1,0
83,897,1,0
83,256,1,0
84,919,0,1
84,394,0,1
85,775,0,1
85,810,0,2
85,674,0,1
85,118,0,1
85,824,0,1
86,696,0,1
86,502,0,1
86,659,0,1
87,542,0,1
87,995,0,1
88,427,0,1
88,378,0,2
89,461,0,1
89,522,0,1
89,651,0,1
89,845,0,1
89,722,0,1
89,441,0,1
90,477,0,1
90,596,0,1
90,943,0,1
90,383,0,1
90,155,0,1
91,218,0,1
91,390,0,1
91,455,0,1
91,442,0,1
92,534,0,1
92,955,0,2
92,778,0,2
92,938,0,1
92,447,0,1
92,784,0,1
93,291,0,1
94,212,0,1
94,496,0,2
94,205,0,2
95,52,1,0
95,511,1,0
96,61,1,0
96,365,1,2
96,594,1,2
96,952,1,2
96,238,1,2
96,744,1,0
97,264,0,1
97,850,0,1
97,687,0,1
97,867,0,2
97,914,0,1
97,639,0,1
98,390,0,1
98,344,0,1
98,324,0,2
98,351,0,1
98,637,0,1
98,856,0,2
99,424,0,1
99,559,0,1
99,751,0,1
100,0,1,0
100,486,1,2
100,259,1,2
100,384,1,0
100,835,1,0
100,462,1,0
101,46,1,0
101,524,1,2
101,666,1,2
102,995,0,1
102,414,0,1
103,262,0,1
103,272,0,1
104,189,0,1
104,680,0,1
104,379,0,1
104,966,0,1
104,579,0,2
104,144,0,1
105,202,0,1
105,662,0,2
105,504,0,1
105,690,0,1
105,341,0,2
105,723,0,2
106,494,0,1
106,338,0,1
106,356,0,1
108,19,1,0
108,726,1,0
108,615,1,0
108,403,1,2
108,770,1,2
109,993,0,1
109,610,0,2
109,829,0,1
109,142,0,1
109,563,0,1
109,365,0,2
110,262,0,1
110,759,0,1
111,983,0,2
111,357,0,1
111,700,0,1
112,265,0,1
112,279,0,1
112,143,0,1
112,317,0,1
112,684,0,1
113,452,0,2
113,441,0,1
113,614,0,1
114,622,0,1
114,173,0,1
114,927,0,1
114,795,0,1
114,146,0,1
115,531,0,1
116,288,0,2
116,829,0,1
116,551,0,1
116,975,0,1
116,278,0,1
116,327,0,1
117,754,0,2
117,331,0,1
117,322,0,1
117,355,0,1
117,776,0,1
117,932,0,2
118,85,1,0
118,908,1,2
118,876,1,2
118,763,1,0
118,915,1,2
118,866,1,0
119,718,0,1
119,154,0,1
120,580,0,1
120,336,2,2
120,372,2,2
120,453,1,1
121,37,1,1
121,172,1,1
121,148,1,1
121,227,1,1
122,350,1,1
122,225,1,1
122,851,1,1
122,791,1,1
122,526,0,1
123,493,0,2
123,668,0,1
124,79,1,0
124,430,1,0
124,457,1,0
124,631,1,2
124,940,1,2
124,648,1,2
125,848,0,2
125,450,0,2
125,188,0,1
126,45,1,0
126,595,1,2
126,285,1,2
126,326,1,2
126,733,1,2
126,732,1,2
127,617,0,2
128,514,0,1
128,596,0,1
128,970,0,2
128,977,0,1
129,135,0,1
129,277,0,1
130,446,0,1
130,542,0,1
130,298,0,1
130,480,0,2
130,438,0,1
130,536,0,2
131,557,0,1
132,29,1,0
132,749,1,2
132,417,1,0
132,227,1,0
132,805,1,2
133,858,0,2
133,188,0,1
133,137,0,1
133,495,0,1
134,517,0,1
134,846,0,1
134,186,0,1
135,129,1,0
135,747,1,0
135,591,1,2
136,346,0,1
137,73,1,0
137,133,1,0
137,481,1,2
137,324,1,2
138,65,1,0
138,587,1,2
138,619,1,0
138,838,1,2
138,949,1,2
138,378,1,2
139,989,0,2
140,991,0,2
141,666,0,2
141,761,0,1
141,832,0,1
141,282,0,1
142,109,1,0
142,376,1,2
142,290,1,0
142,642,1,0
143,112,1,0
143,699,1,2
143,617,1,2
143,190,1,0
143,450,1,2
144,104,1,0
144,867,1,2
145,14,1,0
145,359,1,0
145,858,1,2
145,337,1,0
146,114,1,0
146,445,1,2
146,312,1,2
146,362,1,2
146,932,1,2
146,837,1,0
147,213,0,1
147,857,0,2
147,331,0,1
148,121,0,1
148,794,0,1
148,641,0,1
148,295,0,1
148,849,0,1
148,164,0,1
149,648,0,2
149,284,0,1
149,836,0,2
149,828,0,2
150,500,0,1
150,483,0,2
150,543,0,1
150,232,0,1
151,72,1,0
151,839,1,2
152,346,0,1
152,173,0,1
152,831,0,1
152,182,0,1
152,176,0,1
153,62,1,0
153,507,1,2
153,431,1,0
153,231,1,2
153,841,1,2
153,616,1,2
154,119,1,0
154,452,1,2
154,395,1,2
154,268,1,0
154,801,1,0
154,731,1,2
155,61,1,0
155,90,1,0
155,336,1,2
155,506,1,0
155,769,1,2
155,753,1,0
156,63,1,0
156,702,1,0
157,507,0,2
157,843,0,2
158,793,0,1
158,608,0,1
158,502,0,1
159,520,0,1
159,860,0,1
159,191,0,1
159,590,0,1
159,664,0,2
159,823,0,1
160,679,0,1
160,174,0,1
160,963,0,1
161,623,0,1
161,859,0,1
161,631,0,2
161,657,0,1
161,520,0,1
162,33,1,0
162,330,1,0
162,567,1,2
162,329,1,0
162,573,1,2
162,281,1,0
163,626,0,1
163,327,0,1
163,326,0,2
164,148,1,0
164,848,1,2
165,874,0,1
165,885,0,1
165,481,0,2
166,29,1,0
166,788,1,2
166,372,1,2
166,205,1,2
166,902,1,0
166,480,1,2
167,39,1,0
167,316,1,0
167,978,1,2
167,510,1,2
167,226,1,0
168,749,0,2
168,996,0,1
168,292,0,1
169,884,0,1
169,785,0,1
169,830,0,1
169,513,0,1
169,415,0,1
170,333,0,2
170,871,0,2
170,468,0,1
170,552,0,2
170,934,0,2
170,760,0,2
171,990,0,1
171,728,0,1
171,790,0,2
172,121,0,1
172,846,0,1
173,114,1,0
173,152,1,0
173,871,1,2
174,160,1,0
174,634,1,2
175,292,0,1
175,676,0,1
176,152,1,0
176,619,1,0
176,812,1,2
176,527,1,0
176,753,1,0
176,708,1,2
178,21,1,0
178,854,1,0
178,266,1,2
179,2,1,0
179,579,1,2
179,598,1,2
180,432,0,2
180,565,0,1
180,922,1,1
180,813,1,1
180,335,1,1
180,783,0,1
181,335,0,1
181,258,0,1
181,815,2,2
181,368,1,1
181,539,1,1
182,19,1,0
182,152,1,0
182,471,1,2
182,777,1,0
182,992,1,0
183,881,0,1
184,357,1,1
185,601,1,1
185,831,0,1
185,719,0,1
185,492,0,1
185,351,0,1
185,220,0,1
186,134,1,0
186,667,1,2
186,535,1,0
186,420,1,0
186,371,1,2
186,304,1,0
187,509,0,1
187,910,0,1
187,298,0,1
187,811,0,1
188,125,1,0
188,133,1,0
188,916,1,2
188,582,1,2
188,214,1,0
188,610,1,2
189,104,1,0
189,947,1,2
190,143,0,1
190,614,0,1
190,742,0,1
190,785,0,1
190,269,0,1
190,559,0,1
191,159,1,0
191,348,1,0
191,896,1,0
191,433,1,0
192,981,0,1
192,695,0,1
192,423,0,1
192,302,0,1
192,693,0,1
193,47,1,0
193,873,1,0
193,306,1,2
193,934,1,2
195,800,0,2
196,254,0,1
196,404,0,1
196,748,0,1
196,990,0,1
197,515,0,1
197,424,0,1
197,477,0,1
197,355,0,1
198,812,0,2
198,688,0,1
198,811,0,1
198,263,0,1
199,18,1,0
199,48,1,0
199,869,1,2
199,484,1,0
199,268,1,0
200,964,0,2
200,334,0,2
201,827,0,1
201,413,0,1
201,765,0,1
201,636,0,1
202,105,1,0
202,612,1,2
202,426,1,2
203,247,0,1
203,776,0,1
203,422,0,1
203,416,0,1
204,886,0,1
204,833,0,1
204,755,0,1
205,94,2,0
205,166,2,1
205,297,2,0
205,529,2,0
205,437,2,0
205,813,2,1
206,46,1,0
206,74,1,0
206,498,1,0
207,11,1,0
207,508,1,2
208,13,1,0
208,61,1,0
208,325,1,0
208,257,1,2
208,677,1,2
208,891,1,2
209,467,0,1
209,927,0,1
209,961,0,1
209,354,0,2
209,478,0,1
209,295,0,1
210,893,0,2
211,505,0,2
211,799,0,1
211,512,0,2
211,530,0,1
212,66,1,0
212,94,1,0
212,897,1,0
213,147,1,0
213,410,1,2
213,496,1,2
213,689,1,0
213,588,1,0
214,188,0,1
214,342,0,1
214,444,0,1
215,412,0,1
215,419,0,1
215,998,0,1
215,489,0,2
215,841,0,2
216,479,0,2
216,789,0,1
216,700,0,1
216,977,0,1
217,37,1,0
217,75,1,0
217,630,1,2
218,91,1,0
218,815,1,2
219,46,1,0
219,366,1,0
219,323,1,0
219,463,1,0
220,185,1,0
220,864,1,2
220,506,1,0
220,982,1,2
220,359,1,0
221,47,1,0
221,71,1,0
221,516,1,0
221,458,1,2
221,301,1,2
222,301,0,2
222,681,0,1
222,399,0,2
223,446,0,1
223,328,0,2
224,869,0,2
224,658,0,1
224,997,0,1
224,476,0,2
224,687,0,1
