1000,1257,colorFirst,colorSecond
0,696,0,2
0,871,0,1
0,149,0,1
1,923,0,2
1,13,0,1
1,843,0,1
2,622,0,2
2,11,0,1
2,509,0,2
2,847,0,2
3,838,0,1
4,673,0,1
4,43,0,1
5,650,0,1
6,109,0,1
7,928,0,2
8,466,0,1
8,411,0,1
8,379,0,1
8,714,0,1
9,538,0,1
9,787,0,1
9,31,0,1
10,452,0,1
10,75,0,1
10,939,0,1
10,500,0,1
11,2,1,0
11,995,1,2
11,801,1,2
12,944,0,1
12,943,0,1
12,643,0,1
12,176,0,1
13,1,1,0
13,560,1,0
13,882,1,2
13,289,1,0
14,630,0,2
15,868,0,2
15,61,0,1
15,587,0,2
15,102,0,1
16,379,0,1
16,551,0,1
16,929,0,2
16,778,0,2
17,82,0,1
17,337,0,1
17,41,0,1
17,439,0,2
18,822,0,1
18,178,0,1
19,526,0,1
19,946,0,1
19,655,0,1
20,207,0,1
20,676,0,1
20,530,0,1
20,486,0,1
21,370,0,2
21,285,0,2
22,188,0,1
23,481,0,1
23,643,0,1
23,513,0,2
23,202,0,1
24,890,0,1
24,407,0,1
25,105,0,1
25,563,0,1
25,473,0,1
25,269,0,1
26,403,0,1
26,780,0,2
26,727,0,2
27,376,0,1
27,68,0,1
27,507,0,1
27,366,0,2
28,141,0,1
28,753,0,1
28,688,0,1
28,381,0,1
29,76,0,1
29,725,0,2
30,64,0,1
31,9,1,0
31,885,1,2
31,800,1,2
31,435,1,0
32,853,0,1
32,342,0,2
33,731,0,1
34,595,0,2
34,491,0,2
34,49,0,1
34,113,0,1
35,94,0,1
35,355,0,1
36,972,0,2
36,354,0,2
36,824,0,1
36,571,0,1
37,445,0,1
37,476,0,1
37,452,0,1
37,575,0,1
38,743,0,1
38,532,0,1
39,574,0,1
39,812,0,1
39,371,0,1
39,528,0,1
40,551,0,1
40,600,0,1
41,17,1,0
41,368,1,0
41,562,1,2
41,349,1,0
42,738,0,1
42,313,0,1
43,4,1,0
44,462,0,1
44,180,0,1
44,913,0,2
44,129,0,1
45,627,0,1
45,907,0,1
45,348,0,1
45,644,0,1
46,873,0,2
46,743,0,1
46,818,0,1
47,865,0,1
47,58,0,1
48,178,0,1
48,179,0,1
49,34,1,0
49,215,1,0
49,505,1,2
49,242,1,0
50,183,0,1
50,65,0,1
50,978,0,2
51,807,0,1
51,949,0,1
51,779,0,1
51,653,0,1
52,796,0,2
52,127,0,1
52,129,0,1
53,946,0,1
53,153,0,2
53,420,0,1
53,530,0,1
54,483,0,1
54,561,0,1
54,684,0,1
54,997,0,1
55,853,0,1
56,241,0,2
56,654,0,1
57,394,0,1
57,822,0,1
58,47,1,0
58,587,1,2
58,496,1,0
58,513,1,2
59,857,0,1
60,91,0,1
60,872,0,1
60,542,0,1
60,88,0,1
61,15,1,0
61,868,1,2
61,288,1,0
61,126,1,0
62,596,0,1
62,990,0,2
63,567,0,1
63,105,0,1
63,585,0,1
64,30,1,0
64,395,1,0
64,236,1,0
65,50,1,0
65,619,1,0
65,329,1,0
65,678,1,2
66,333,0,1
66,987,0,2
66,372,0,1
66,583,0,2
67,322,0,1
67,507,0,1
68,27,1,0
68,837,1,2
68,275,1,2
68,781,1,0
69,631,0,1
69,770,0,1
70,665,0,1
71,823,0,1
71,811,0,2
71,350,0,2
71,731,0,1
72,617,0,1
73,484,0,1
73,86,0,1
73,195,0,1
73,682,0,2
74,367,0,1
75,10,1,0
75,140,1,0
75,767,1,0
75,114,1,0
76,29,1,0
76,435,1,0
77,475,0,2
77,571,0,1
77,262,0,1
77,837,0,2
78,708,0,2
78,584,0,2
78,338,0,1
78,679,0,1
79,694,0,2
79,505,0,2
80,617,0,1
80,425,0,1
81,889,0,1
81,407,0,1
81,985,0,1
81,746,0,1
82,17,1,0
82,472,1,2
82,751,1,2
82,924,1,0
83,751,0,2
83,208,0,2
84,89,0,1
84,784,0,2
85,992,0,1
85,141,0,1
85,559,0,1
86,73,1,0
86,578,1,2
87,669,0,1
88,60,1,0
88,705,1,0
88,354,1,2
89,84,1,0
89,537,1,2
89,990,1,2
89,767,1,0
90,436,0,1
91,60,1,0
91,120,1,0
91,601,1,0
92,757,0,1
92,969,0,1
92,188,0,1
92,949,0,1
93,884,0,1
93,308,0,1
93,641,0,2
93,621,0,2
94,35,1,0
94,924,1,0
95,903,0,2
95,117,0,1
95,490,0,1
95,528,0,1
96,549,0,2
96,248,0,1
97,462,0,1
98,383,0,1
99,753,0,1
100,421,0,1
100,858,0,2
100,267,0,1
100,850,0,1
101,600,0,1
101,831,0,2
101,657,0,1
102,15,1,0
102,749,1,0
102,137,1,0
102,968,1,0
103,580,0,1
103,792,0,1
103,593,0,1
104,477,0,2
104,590,0,2
104,416,0,1
105,25,1,0
105,63,1,0
105,971,1,0
105,588,1,2
106,493,0,2
106,480,0,1
107,850,0,1
107,552,0,1
107,390,0,1
108,300,0,1
108,872,0,1
108,994,0,1
108,874,0,1
109,6,1,0
109,412,1,0
110,580,0,1
110,598,0,2
110,997,0,1
111,144,0,1
112,674,0,1
113,34,1,0
113,208,1,2
113,164,1,0
114,75,0,1
114,203,0,1
115,293,0,1
115,762,0,1
115,724,0,2
116,996,0,1
116,251,0,1
116,206,0,1
116,374,0,1
117,95,1,0
117,612,1,2
118,422,0,2
118,828,0,2
118,835,0,1
118,979,0,2
119,888,0,1
119,416,0,1
119,864,0,2
120,91,0,1
120,125,0,1
120,220,0,1
120,347,0,1
121,200,0,1
122,542,0,1
122,754,0,1
122,793,0,2
122,264,0,1
123,197,0,1
123,145,0,1
124,557,0,1
124,394,0,1
124,404,0,1
124,585,0,1
125,120,1,0
125,153,1,2
125,987,1,2
125,406,1,0
126,61,0,1
126,574,0,1
126,812,0,1
126,245,0,2
127,52,1,0
127,271,1,0
127,241,1,2
127,966,1,2
128,877,0,1
129,44,1,0
129,52,1,0
129,708,1,2
129,250,1,0
130,669,0,1
130,307,0,1
130,961,0,1
130,700,0,1
131,226,0,1
131,266,0,1
131,213,0,1
131,259,0,1
132,882,0,2
132,163,0,1
132,161,0,1
132,169,0,1
133,308,0,1
133,610,0,2
133,535,0,1
133,376,0,1
134,877,0,1
